	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation	Fraction
18	NM_004706_3	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 1 (ARHGEF1), transcript variant 2, mRNA|ARHGEF1|frame-1			5.537861682117993	100.0	34.62	383.2494524560945					Related Proteins	NM_198977_2, NM_199002_3	NM_004706_3, NM_198977_2, NM_199002_3	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E11_0
88	NM_001127321_11	Homo sapiens chromobox homolog 5 (HP1 alpha homolog, Drosophila) (CBX5), transcript variant 2, mRNA|CBX5|frame-2			8.309514500176894	100.0	12.5	276.7912712182905					Related Proteins	NM_001127322_11, NM_012117_11	NM_001127321_11, NM_001127322_11, NM_012117_11	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E11_0
180	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	166.0747627309743					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	4	4	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E11_0
208	NM_001142605_1	Homo sapiens elongation factor Tu GTP binding domain containing 2 (EFTUD2), transcript variant 2, mRNA|EFTUD2|frame-1			6.490563881867114	100.0	18.97	343.60295737442954					Related Proteins	NM_004247_1	NM_001142605_1, NM_004247_1	1	1	1	1	1	1	2	4	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E11_0
132	NM_015630_2	Homo sapiens enhancer of polycomb homolog 2 (Drosophila) (EPC2), mRNA|EPC2|frame-1			6.02787746856013	100.0	16.0	540.7204271436832					Single Protein		NM_015630_2	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D01_0
139	NM_001024210_1	Homo sapiens S100 calcium binding protein A13 (S100A13), transcript variant 1, mRNA|S100A13|frame-3			5.511964432934371	100.0	33.33	2816.2522247066836					Single Protein		NM_001024210_1	1	1	1	1	1	1	5	11	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D01_0
28	NM_001040653_2	Homo sapiens ZXD family zinc finger C (ZXDC), transcript variant 2, mRNA|ZXDC|frame-2			8.010012454448061	66.2	16.9	0.0					Related Proteins	NM_025112_2	NM_001040653_2, NM_025112_2	1	1	1	1	1	1	0	19	96.58119658119658	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A04_0
88	NM_138362_1	Homo sapiens family with sequence similarity 104, member B (FAM104B), mRNA|FAM104B|frame-1			8.162438040761343	100.0	16.44	0.0					Single Protein		NM_138362_1	1	1	1	1	1	1	0	18	98.83268482490273	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E10_0
130	NM_015312_13	Homo sapiens KIAA1109 (KIAA1109), mRNA|KIAA1109|frame-2			6.88984763835242	100.0	27.59	0.0					Single Protein		NM_015312_13	1	1	1	1	1	1	0	21	99.19678714859438	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E10_0
195	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	88.33	3.75	183.76378601622773					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	4	4	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E10_0
206	NM_001009993_11	Homo sapiens family with sequence similarity 168, member B (FAM168B), mRNA|FAM168B|frame-3			4.63129432131453	100.0	41.86	256.4145851389224					Single Protein		NM_001009993_11	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E10_0
91	NM_001031701_5	Homo sapiens 5'-nucleotidase domain containing 3 (NT5DC3), mRNA|NT5DC3|frame-1			8.659763753601354	100.0	21.62	109.17434689011418					Single Protein		NM_001031701_5	1	1	1	1	1	1	1	18	98.59154929577466	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E06_0
18	NM_001135195_3	Homo sapiens solute carrier family 39 (metal ion transporter), member 5 (SLC39A5), transcript variant 2, mRNA|SLC39A5|frame-3			6.925246476461701	50.77	33.85	1305.7789272097234					Related Proteins	NM_173596_3	NM_001135195_3, NM_173596_3	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H09_0
48	NM_001127893_2	Homo sapiens carcinoembryonic antigen-related cell adhesion molecule 19 (CEACAM19), transcript variant 1, mRNA|CEACAM19|frame-2			5.1107360282677625	100.0	45.83	897.7230124566848					Related Proteins	NM_020219_2	NM_001127893_2, NM_020219_2	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H09_0
18	XM_002342902_1	PREDICTED: Homo sapiens hypothetical protein LOC100287493 (LOC100287493), mRNA|LOC100287493|frame-2			9.747978999643749	44.57	0.0	0.0					Related Proteins	XM_002346160_1, XM_002347037_1	XM_002342902_1, XM_002346160_1, XM_002347037_1	0	1	1	0	1	0	0	4	89.28571428571429	Doubtful	WAN100329_OT2_HS3NE_HCW_P1A04_0
1	NM_001083585_4	Homo sapiens rabaptin, RAB GTPase binding effector protein 1 (RABEP1), transcript variant 2, mRNA|RABEP1|frame-2			6.136260052817534	100.0	17.31	2001.1695089660575					Related Proteins	NM_004703_4	NM_001083585_4, NM_004703_4	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1A12_0
60	NM_080738_1	Homo sapiens EDAR-associated death domain (EDARADD), transcript variant B, mRNA|EDARADD|frame-1			42.31468840831927	92.01	9.79	544.4844612269453					Related Proteins	NM_145861_1	NM_080738_1, NM_145861_1	5	7	2	1	2	1	20	26	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1A12_0
65	NM_080738_1	Homo sapiens EDAR-associated death domain (EDARADD), transcript variant B, mRNA|EDARADD|frame-1			42.31468840831927	92.01	2.32	45.73838198434666					Related Proteins	NM_145861_1, P06733	NM_080738_1, NM_145861_1, P06733	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D03_0
86	NM_018440_11	Homo sapiens phosphoprotein associated with glycosphingolipid microdomains 1 (PAG1), mRNA|PAG1|frame-3			4.706482256113241	100.0	31.82	403.32936840742053					Single Protein		NM_018440_11	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D03_0
98	NM_001034025_1	Homo sapiens endoplasmic reticulum protein 29 (ERP29), transcript variant 2, mRNA|ERP29|frame-1			18.10437429342244	100.0	6.25	110.91557631204064					Related Proteins	P30040	NM_001034025_1, P30040	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D03_0
132	NM_001024210_1	Homo sapiens S100 calcium binding protein A13 (S100A13), transcript variant 1, mRNA|S100A13|frame-3			5.511964432934371	100.0	33.33	369.7185877068021					Single Protein		NM_001024210_1	1	1	1	1	1	1	1	5	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D03_0
15	NM_001040653_2	Homo sapiens ZXD family zinc finger C (ZXDC), transcript variant 2, mRNA|ZXDC|frame-2			8.010012454448061	66.2	16.9	1250.7252884170034					Related Proteins	NM_025112_2	NM_001040653_2, NM_025112_2	1	1	1	1	1	1	1	16	78.43137254901961	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A06_0
43	NM_020435_2	Homo sapiens gap junction protein, gamma 2, 47kDa (GJC2), mRNA|GJC2|frame-3			15.730312515683137	100.0	9.93	629.797840266718					Single Protein		NM_020435_2	1	2	2	1	2	1	1	2	78.43137254901961	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A06_0
59	NM_001720_1	Homo sapiens bone morphogenetic protein 8b (BMP8B), mRNA|BMP8B|frame-1			10.009636683398243	100.0	8.51	944.696760400077					Related Proteins	Q8NAA5	NM_001720_1, Q8NAA5	1	1	1	1	1	1	1	61	78.43137254901961	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A06_0
7	NM_178190_1	Homo sapiens ATPase inhibitory factor 1 (ATPIF1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA|ATPIF1|frame-2			11.50203278137025	100.0	11.0	208.98947362745471					Related Proteins	Q9UII2	NM_178190_1, Q9UII2	1	1	0	0	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C08_0
20	NM_001033551_5	Homo sapiens target of myb1-like 2 (chicken) (TOM1L2), transcript variant 1, mRNA|TOM1L2|frame-2			14.460222447876935	56.2	11.68	405.8048031601062					Related Proteins	NM_001082968_6	NM_001033551_5, NM_001082968_6	1	1	1	1	1	1	1	80	97.3913043478261	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C08_0
98	NM_001024210_1	Homo sapiens S100 calcium binding protein A13 (S100A13), transcript variant 1, mRNA|S100A13|frame-3			5.511964432934371	100.0	33.33	3483.1578937909117					Single Protein		NM_001024210_1	1	1	1	1	1	1	4	33	97.41379310344827	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C08_0
76	NM_003455_1	Homo sapiens zinc finger protein 202 (ZNF202), mRNA|ZNF202|frame-3			5.516698743793741	100.0	32.0	0.0					Single Protein		NM_003455_1	1	1	1	1	1	1	0	53	98.22695035460993	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E05_0
133	XM_002345578_5	PREDICTED: Homo sapiens similar to RIKEN cDNA C230030N03 (LOC100291878), mRNA|LOC100291878|frame-1			12.158388156584001	100.0	14.55	82.66726538255558					Single Protein		XM_002345578_5	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E05_0
174	NM_016128_2	Homo sapiens coatomer protein complex, subunit gamma (COPG), mRNA|COPG|frame-3			7.8389286719799145	100.0	0.0	0.0					Single Protein		NM_016128_2	0	1	1	0	1	0	1	1	98.7012987012987	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E12_0
181	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	88.33	3.75	95.93641422831637					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	2	2	1	2	1	2	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E12_0
215	NM_170587_1	Homo sapiens regulator of G-protein signaling 20 (RGS20), transcript variant 1, mRNA|RGS20|frame-1			10.959423755923583	100.0	7.77	558.8528984173769					Single Protein		NM_170587_1	1	1	1	1	1	1	5	13	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E12_0
51	NM_020808_4	Homo sapiens signal-induced proliferation-associated 1 like 2 (SIPA1L2), mRNA|SIPA1L2|frame-1			23.114766831778216	66.22	6.31	353.07431061345915					Single Protein		NM_020808_4	1	1	1	1	1	1	2	4	99.0909090909091	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H08_0
2	NM_199133_1	Homo sapiens family with sequence similarity 173, member B (FAM173B), mRNA|FAM173B|frame-2			6.2290449768644605	100.0	0.0	0.0					Single Protein		NM_199133_1	0	1	1	0	1	0	1	2	66.66666666666667	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D02_0
134	NM_001024210_1	Homo sapiens S100 calcium binding protein A13 (S100A13), transcript variant 1, mRNA|S100A13|frame-3			5.511964432934371	100.0	33.33	1697.6378854976736					Single Protein		NM_001024210_1	1	1	1	1	1	1	4	9	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D02_0
33	NM_001109662_7	Homo sapiens chromosome 12 open reading frame 51 (C12orf51), mRNA|C12orf51|frame-2			12.67238556733071	100.0	15.65	375.0229691686446					Single Protein		NM_001109662_7	1	1	1	1	1	1	4	52	95.34883720930233	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E04_0
76	NM_003455_1	Homo sapiens zinc finger protein 202 (ZNF202), mRNA|ZNF202|frame-3			5.516698743793741	100.0	32.0	0.0					Single Protein		NM_003455_1	1	1	1	1	1	1	0	48	96.875	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E04_0
80	NM_012189_4	Homo sapiens calcium binding tyrosine-(Y)-phosphorylation regulated (CABYR), transcript variant 1, mRNA|CABYR|frame-3			21.781934563098922	82.67	4.95	0.0					Related Proteins	NM_153768_3	NM_012189_4, NM_153768_3	1	1	1	1	1	1	0	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E04_0
160	NM_170769_3	Homo sapiens ring finger protein 39 (RNF39), transcript variant 2, mRNA|RNF39|frame-1			11.258737349259738	54.0	8.0	199.66500673330614					Single Protein		NM_170769_3	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E04_0
181	NM_199184_2	Homo sapiens chromosome 6 open reading frame 108 (C6orf108), transcript variant 2, mRNA|C6orf108|frame-1			4.95529845647965	100.0	37.78	239.59800807996737					Related Proteins	O43598	NM_199184_2, O43598	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E04_0
214	NM_005401_1	Homo sapiens protein tyrosine phosphatase, non-receptor type 14 (PTPN14), mRNA|PTPN14|frame-3			6.064033866990212	100.0	15.69	211.41000712938296					Single Protein		NM_005401_1	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E04_0
242	NM_013447_11	Homo sapiens egf-like module containing, mucin-like, hormone receptor-like 2 (EMR2), transcript variant 1, mRNA|EMR2|frame-2			6.417043181427462	3.39	13.56	0.0					Related Proteins	NM_152916_9, NM_152917_9, NM_152918_9, NM_152919_11, NM_152920_9, NM_152921_9	NM_013447_11, NM_152916_9, NM_152917_9, NM_152918_9, NM_152919_11, NM_152920_9, NM_152921_9	1	1	1	1	1	1	0	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E04_0
10	NM_001127231_2	Homo sapiens autism susceptibility candidate 2 (AUTS2), transcript variant 2, mRNA|AUTS2|frame-2			12.278460113764128	100.0	12.28	89.10176687244277					Related Proteins	NM_001127232_2, NM_015570_2	NM_001127231_2, NM_001127232_2, NM_015570_2	1	1	1	1	1	1	1	2	71.42857142857143	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F09_0
14	NM_002367_2	Homo sapiens melanoma antigen family B, 4 (MAGEB4), mRNA|MAGEB4|frame-3			5.190758871887319	100.0	31.11	225.72447607685504					Single Protein		NM_002367_2	1	1	1	1	1	1	1	2	71.42857142857143	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F09_0
105	NM_183359_1	Homo sapiens bromodomain containing 8 (BRD8), transcript variant 3, mRNA|BRD8|frame-2			17.552073302862077	100.0	8.44	131.91690160335685					Related Proteins	Q9H0E9	NM_183359_1, Q9H0E9	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F09_0
271	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	42.32333926441032					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F09_0
319	NM_003004_7	Homo sapiens secreted and transmembrane 1 (SECTM1), mRNA|SECTM1|frame-1			11.961416019444254	100.0	25.93	94.05186503202293					Single Protein		NM_003004_7	1	2	2	1	2	1	1	5	87.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F09_0
330	NM_020719_2	Homo sapiens proline rich 12 (PRR12), mRNA|PRR12|frame-2			7.813189569201134	100.0	21.92	139.14522497888325					Single Protein		NM_020719_2	1	1	1	1	1	1	1	2	87.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F09_0
14	NM_000219_10	Homo sapiens potassium voltage-gated channel, Isk-related family, member 1 (KCNE1), transcript variant 2, mRNA|KCNE1|frame-1			7.929456061232495	100.0	11.59	3638.519850647003					Related Proteins	NM_001127668_9, NM_001127669_9, NM_001127670_9	NM_000219_10, NM_001127668_9, NM_001127669_9, NM_001127670_9	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H07_0
19	NM_001109662_7	Homo sapiens chromosome 12 open reading frame 51 (C12orf51), mRNA|C12orf51|frame-2			12.67238556733071	100.0	15.65	242.71640933549372					Single Protein		NM_001109662_7	1	1	1	1	1	1	3	25	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E03_0
109	NM_001034025_1	Homo sapiens endoplasmic reticulum protein 29 (ERP29), transcript variant 2, mRNA|ERP29|frame-1			18.10437429342244	100.0	9.38	58.15080640329538					Related Proteins	P30040	NM_001034025_1, P30040	1	2	0	0	2	1	2	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E03_0
60	NM_003047_1	Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger), member 1 (SLC9A1), mRNA|SLC9A1|frame-1			5.184701190853743	100.0	43.75	363.6382298924802					Single Protein		NM_003047_1	1	1	1	1	1	1	1	6	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D05_0
67	NM_001013406_6	Homo sapiens KRIT1, ankyrin repeat containing (KRIT1), transcript variant 5, mRNA|KRIT1|frame-3			8.189308757927295	100.0	25.0	727.2764597849604					Related Proteins	NM_004912_5, NM_194454_5, NM_194455_4, NM_194456_5	NM_001013406_6, NM_004912_5, NM_194454_5, NM_194455_4, NM_194456_5	1	1	1	1	1	1	3	4	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D05_0
79	NM_001127173_2	Homo sapiens cell adhesion molecule 3 (CADM3), transcript variant 2, mRNA|CADM3|frame-3			14.5584400006802	43.88	11.51	286.1415579481812					Related Proteins	NM_021189_2	NM_001127173_2, NM_021189_2	1	1	1	1	1	1	1	4	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D05_0
89	NM_018656_1	Homo sapiens solute carrier family 35, member E3 (SLC35E3), mRNA|SLC35E3|frame-3			14.03134648151133	100.0	11.36	132.23208359726553					Single Protein		NM_018656_1	1	2	2	1	2	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D05_0
120	NM_001024210_1	Homo sapiens S100 calcium binding protein A13 (S100A13), transcript variant 1, mRNA|S100A13|frame-3			5.511964432934371	100.0	33.33	727.2764597849604					Single Protein		NM_001024210_1	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D05_0
127	NM_080738_1	Homo sapiens EDAR-associated death domain (EDARADD), transcript variant B, mRNA|EDARADD|frame-1			42.31468840831927	92.01	5.67	44.98617277020374					Related Proteins	NM_145861_1	NM_080738_1, NM_145861_1	1	1	1	1	1	1	1	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D05_0
140	NM_032951_5	Homo sapiens MLX interacting protein-like (MLXIPL), transcript variant 1, mRNA|MLXIPL|frame-2			4.13201485200614	100.0	47.5	210.2365862688264					Related Proteins	NM_032952_5, NM_032953_5, NM_032954_5	NM_032951_5, NM_032952_5, NM_032953_5, NM_032954_5	1	1	1	1	1	1	1	11	80.95238095238095	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F08_0
150	XM_002343641_2	PREDICTED: Homo sapiens similar to zinc finger protein 564 (LOC100287841), mRNA|LOC100287841|frame-2			8.921821283222576	100.0	11.39	212.8978088798242					Related Proteins	XM_002345144_2, XM_002347921_2	XM_002343641_2, XM_002345144_2, XM_002347921_2	1	1	1	1	1	1	2	2	99.43342776203966	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F08_0
183	NM_006080_9	Homo sapiens sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A (SEMA3A), mRNA|SEMA3A|frame-1			6.513686235571384	100.0	14.55	305.7986709364747					Single Protein		NM_006080_9	1	1	1	1	1	1	2	2	82.6086956521739	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F08_0
196	NM_000415_2	Homo sapiens islet amyloid polypeptide (IAPP), mRNA|IAPP|frame-1			6.113198334142942	100.0	38.98	285.06655765264594					Single Protein		NM_000415_2	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F08_0
259	NM_001144952_14	Homo sapiens sidekick homolog 2 (chicken) (SDK2), mRNA|SDK2|frame-2			5.179587082976171	100.0	39.58	350.39431044804394					Single Protein		NM_001144952_14	1	1	1	1	1	1	2	20	99.43342776203966	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F08_0
264	NM_003246_5	Homo sapiens thrombospondin 1 (THBS1), mRNA|THBS1|frame-1			43.087397535291004	68.35	4.56	25.955134107262516					Single Protein		NM_003246_5	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F08_0
280	NM_001048210_2	Homo sapiens chloride channel CLIC-like 1 (CLCC1), transcript variant 1, mRNA|CLCC1|frame-3			15.118007067423191	100.0	6.02	63.22904850190267					Related Proteins	NM_015127_2	NM_001048210_2, NM_015127_2	1	1	1	1	1	1	1	2	78.94736842105263	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F08_0
102	NM_015225_3	Homo sapiens prune homolog 2 (Drosophila) (PRUNE2), mRNA|PRUNE2|frame-3			12.45260534306103	77.48	9.01	662.737077346245					Single Protein		NM_015225_3	1	1	1	1	1	1	2	8	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H10_0
180	NM_002137_5	Homo sapiens heterogeneous nuclear ribonucleoprotein A2/B1 (HNRNPA2B1), transcript variant A2, mRNA|HNRNPA2B1|frame-3			4.711332421075411	100.0	40.0	265.59229795649674					Related Proteins	NM_031243_5	NM_002137_5, NM_031243_5	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E02_0
13	NM_178190_1	Homo sapiens ATPase inhibitory factor 1 (ATPIF1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA|ATPIF1|frame-2			11.50203278137025	100.0	10.0	118.3767849116206					Related Proteins	Q9UII2	NM_178190_1, Q9UII2	1	1	0	0	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D04_0
37	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.33	80.95733984343912					Related Proteins	P14678, P63162, Q92611	NM_005678_1, P14678, P63162, Q92611	1	1	0	0	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A01_0
110	NM_020762_14	Homo sapiens SLIT-ROBO Rho GTPase activating protein 1 (SRGAP1), mRNA|SRGAP1|frame-2			9.224777821104125	100.0	12.05	468.1870256006117					Single Protein		NM_020762_14	1	1	1	1	1	1	2	2	98.40637450199203	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A01_0
116	NM_005456_6	Homo sapiens mitogen-activated protein kinase 8 interacting protein 1 (MAPK8IP1), mRNA|MAPK8IP1|frame-3			6.779360348254282	64.62	24.62	298.9194086526983					Related Proteins	XM_001719157_2	NM_005456_6, XM_001719157_2	1	1	1	1	1	1	1	5	78.78787878787878	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A01_0
149	NM_015229_5	Homo sapiens KIAA0664 (KIAA0664), mRNA|KIAA0664|frame-2			7.125909688886582	100.0	11.94	579.9928824604593					Single Protein		NM_015229_5	1	1	1	1	1	1	2	2	79.41176470588236	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A01_0
11	NM_017762_4	Homo sapiens myotubularin related protein 10 (MTMR10), mRNA|MTMR10|frame-2			11.736879077042474	100.0	19.27	0.0					Single Protein		NM_017762_4	1	2	2	1	2	1	0	57	97.97979797979798	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D11_0
57	NM_000550_1	Homo sapiens tyrosinase-related protein 1 (TYRP1), mRNA|TYRP1|frame-3			4.76133466547303	100.0	31.91	510.5406155828955					Single Protein		NM_000550_1	1	1	1	1	1	1	2	2	95.07389162561576	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D11_0
129	NM_001077490_1	Homo sapiens GNAS complex locus (GNAS), transcript variant 2, mRNA|GNAS|frame-1			110.95551982886884	54.97	2.03	36.91601374214783					Related Proteins	NM_016592_1, P63092, Q5JWF2	NM_001077490_1, NM_016592_1, P63092, Q5JWF2	1	1	0	0	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D11_0
141	NM_201998_1	Homo sapiens splicing factor 1 (SF1), transcript variant 3, mRNA|SF1|frame-2			7.634758194634393	60.56	30.99	168.98175304504286					Single Protein		NM_201998_1	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D11_0
144	NM_021253_2	Homo sapiens tripartite motif-containing 39 (TRIM39), transcript variant 1, mRNA|TRIM39|frame-2			4.767494601188852	100.0	22.5	899.8278349648533					Related Proteins	NM_172016_3	NM_021253_2, NM_172016_3	1	1	1	1	1	1	3	3	97.52475247524752	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D11_0
68	NM_012425_2	Homo sapiens Ras suppressor protein 1 (RSU1), transcript variant 1, mRNA|RSU1|frame-2			14.04312115157429	79.2	7.2	382.45685495522133					Related Proteins	NM_152724_2	NM_012425_2, NM_152724_2	1	1	1	1	1	1	4	4	99.11504424778761	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E01_0
80	NM_005183_4	Homo sapiens calcium channel, voltage-dependent, L type, alpha 1F subunit (CACNA1F), mRNA|CACNA1F|frame-1			11.870793746830644	100.0	20.0	0.0					Single Protein		NM_005183_4	1	1	1	1	1	1	0	98	98.2532751091703	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E01_0
83	NM_016510_4	Homo sapiens selenocysteine lyase (SCLY), mRNA|SCLY|frame-2			4.903433532099012	100.0	27.27	543.2625780613939					Single Protein		NM_016510_4	1	1	1	1	1	1	2	2	96.99570815450643	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E01_0
170	XM_002342666_1	PREDICTED: Homo sapiens hypothetical protein LOC100287673 (LOC100287673), mRNA|LOC100287673|frame-1			8.225113631611414	100.0	10.53	157.26021996514035					Related Proteins	XM_002345938_1, XM_002346823_1	XM_002342666_1, XM_002345938_1, XM_002346823_1	1	1	1	1	1	1	1	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E01_0
214	NM_001003679_6	Homo sapiens leptin receptor (LEPR), transcript variant 2, mRNA|LEPR|frame-1			6.337350492724982	100.0	27.78	0.0					Single Protein		NM_001003679_6	1	1	1	1	1	1	0	30	99.11504424778761	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E01_0
26	NM_000550_1	Homo sapiens tyrosinase-related protein 1 (TYRP1), mRNA|TYRP1|frame-3			4.76133466547303	100.0	31.91	450.35527574469404					Single Protein		NM_000550_1	1	1	1	1	1	1	1	2	95.41284403669725	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D07_0
44	NM_003047_1	Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger), member 1 (SLC9A1), mRNA|SLC9A1|frame-1			5.184701190853743	100.0	43.75	440.97287416667956					Single Protein		NM_003047_1	1	1	1	1	1	1	1	20	94.5945945945946	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D07_0
